stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,67.63,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,66.96,0
StatoMacchina.MACCHINA_ATTIVA,66.46,1
StatoMacchina.MACCHINA_ATTIVA,69.24,1
StatoMacchina.MACCHINA_ATTIVA,67.6,1
StatoMacchina.MACCHINA_ATTIVA,64.77,1
StatoMacchina.MACCHINA_ATTIVA,68.87,1
StatoMacchina.MACCHINA_ATTIVA,73.38,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,69.47,0
StatoMacchina.MACCHINA_ATTIVA,65.44,1
StatoMacchina.MACCHINA_ATTIVA,66.82,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,71.63,1
StatoMacchina.MACCHINA_ATTIVA,72.23,2
StatoMacchina.MACCHINA_ATTIVA,75.44,2
StatoMacchina.MACCHINA_ATTIVA,72.15,2
StatoMacchina.MACCHINA_ATTIVA,71.04,2
StatoMacchina.MACCHINA_ATTIVA,71.14,2
StatoMacchina.MACCHINA_ATTIVA,71.53,2
StatoMacchina.MACCHINA_ATTIVA,74.01,2
StatoMacchina.MACCHINA_ATTIVA,75.92,2
StatoMacchina.MACCHINA_ATTIVA,77.44,2
StatoMacchina.MACCHINA_ATTIVA,79.4,2
StatoMacchina.MACCHINA_ATTIVA,77.05,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,80.21,2
StatoMacchina.MACCHINA_ATTIVA,79.15,3
StatoMacchina.MACCHINA_ATTIVA,82.85,3
StatoMacchina.MACCHINA_ATTIVA,78.74,3
StatoMacchina.MACCHINA_ATTIVA,77.78,3
StatoMacchina.MACCHINA_ATTIVA,81.62,3
StatoMacchina.MACCHINA_ATTIVA,82.73,3
StatoMacchina.MACCHINA_ATTIVA,81.53,3
StatoMacchina.MACCHINA_ATTIVA,85.48,3
StatoMacchina.MACCHINA_ATTIVA,82.67,3
StatoMacchina.MACCHINA_ATTIVA,81.12,3
StatoMacchina.MACCHINA_ATTIVA,81.03,3
StatoMacchina.MACCHINA_ATTIVA,78.28,3
StatoMacchina.MACCHINA_ATTIVA,80.25,3
StatoMacchina.MACCHINA_ATTIVA,77.25,3
StatoMacchina.DISATTIVA_ULTIMA_POMPA,73.38,3
StatoMacchina.MACCHINA_ATTIVA,70.98,2
StatoMacchina.MACCHINA_ATTIVA,74.17,2
StatoMacchina.MACCHINA_ATTIVA,76.98,2
StatoMacchina.MACCHINA_ATTIVA,75.34,2
StatoMacchina.MACCHINA_ATTIVA,73.08,2
StatoMacchina.MACCHINA_ATTIVA,73.96,2
StatoMacchina.MACCHINA_ATTIVA,72.1,2
StatoMacchina.MACCHINA_ATTIVA,72.2,2
StatoMacchina.MACCHINA_ATTIVA,69.13,2
StatoMacchina.MACCHINA_ATTIVA,72.09,2
StatoMacchina.MACCHINA_ATTIVA,69.24,2
StatoMacchina.MACCHINA_ATTIVA,65.91,2
StatoMacchina.MACCHINA_ATTIVA,68.99,2
StatoMacchina.MACCHINA_ATTIVA,65.01,2
StatoMacchina.DISATTIVA_ULTIMA_POMPA,62.89,2
StatoMacchina.MACCHINA_ATTIVA,61.03,1
StatoMacchina.MACCHINA_ATTIVA,56.97,1
StatoMacchina.DISATTIVA_ULTIMA_POMPA,54.03,1
StatoMacchina.MACCHINA_ATTIVA,56.16,0
StatoMacchina.MACCHINA_ATTIVA,52.48,0
StatoMacchina.MACCHINA_ATTIVA,55.18,0
StatoMacchina.MACCHINA_ATTIVA,56.47,0
StatoMacchina.MACCHINA_ATTIVA,54.61,0
StatoMacchina.MACCHINA_ATTIVA,55.47,0
StatoMacchina.MACCHINA_ATTIVA,51.03,0
