stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,72.21,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,70.98,0
StatoMacchina.MACCHINA_ATTIVA,67.15,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,67.84,1
StatoMacchina.MACCHINA_ATTIVA,69.23,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,67.96,2
StatoMacchina.MACCHINA_ATTIVA,65.56,3
StatoMacchina.MACCHINA_ATTIVA,67.52,3
StatoMacchina.MACCHINA_ATTIVA,67.06,3
StatoMacchina.MACCHINA_ATTIVA,64.9,3
StatoMacchina.MACCHINA_ATTIVA,65.33,3
StatoMacchina.MACCHINA_ATTIVA,61.69,3
StatoMacchina.MACCHINA_ATTIVA,65.24,3
StatoMacchina.MACCHINA_ATTIVA,69.74,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,71.63,3
StatoMacchina.MACCHINA_ATTIVA,67.98,4
StatoMacchina.MACCHINA_ATTIVA,72.04,4
StatoMacchina.MACCHINA_ATTIVA,73.72,4
StatoMacchina.MACCHINA_ATTIVA,77.61,4
StatoMacchina.MACCHINA_ATTIVA,79.78,4
StatoMacchina.MACCHINA_ATTIVA,75.05,4
StatoMacchina.MACCHINA_ATTIVA,76.76,4
StatoMacchina.MACCHINA_ATTIVA,76.53,4
StatoMacchina.MACCHINA_ATTIVA,75.13,4
StatoMacchina.MACCHINA_ATTIVA,78.17,4
StatoMacchina.ATTIVA_PROSSIMA_POMPA,81.6,4
StatoMacchina.MACCHINA_ATTIVA,82.45,5
StatoMacchina.MACCHINA_ATTIVA,83.9,5
StatoMacchina.MACCHINA_ATTIVA,88.31,5
StatoMacchina.MACCHINA_ATTIVA,88.94,5
StatoMacchina.MACCHINA_ATTIVA,88.93,5
StatoMacchina.ATTIVA_PROSSIMA_POMPA,92.53,5
StatoMacchina.MACCHINA_ATTIVA,88.32,6
StatoMacchina.MACCHINA_ATTIVA,84.85,6
StatoMacchina.MACCHINA_ATTIVA,86.19,6
StatoMacchina.MACCHINA_ATTIVA,88.4,6
StatoMacchina.MACCHINA_ATTIVA,92.54,6
StatoMacchina.MACCHINA_ATTIVA,92.61,6
StatoMacchina.MACCHINA_ATTIVA,91.09,6
StatoMacchina.MACCHINA_ATTIVA,86.73,6
StatoMacchina.MACCHINA_ATTIVA,83.71,6
StatoMacchina.MACCHINA_ATTIVA,87.31,6
StatoMacchina.MACCHINA_ATTIVA,87.48,6
StatoMacchina.MACCHINA_ATTIVA,86.46,6
StatoMacchina.MACCHINA_ATTIVA,85.18,6
StatoMacchina.MACCHINA_ATTIVA,87.65,6
StatoMacchina.MACCHINA_ATTIVA,84.36,6
StatoMacchina.DISATTIVA_ULTIMA_POMPA,80.31,6
StatoMacchina.MACCHINA_ATTIVA,80.51,5
StatoMacchina.MACCHINA_ATTIVA,83.12,5
StatoMacchina.MACCHINA_ATTIVA,80.59,5
StatoMacchina.MACCHINA_ATTIVA,82.53,5
StatoMacchina.MACCHINA_ATTIVA,81.54,5
StatoMacchina.MACCHINA_ATTIVA,77.04,5
StatoMacchina.MACCHINA_ATTIVA,73.86,5
StatoMacchina.MACCHINA_ATTIVA,73.5,5
StatoMacchina.MACCHINA_ATTIVA,74.87,5
StatoMacchina.MACCHINA_ATTIVA,75.61,5
StatoMacchina.MACCHINA_ATTIVA,78.34,5
StatoMacchina.MACCHINA_ATTIVA,77.82,5
StatoMacchina.DISATTIVA_ULTIMA_POMPA,72.84,5
StatoMacchina.MACCHINA_ATTIVA,69.18,4
StatoMacchina.MACCHINA_ATTIVA,66.37,4
StatoMacchina.MACCHINA_ATTIVA,63.91,4
StatoMacchina.MACCHINA_ATTIVA,65.17,4
StatoMacchina.DISATTIVA_ULTIMA_POMPA,62.51,4
StatoMacchina.MACCHINA_ATTIVA,58.83,3
StatoMacchina.MACCHINA_ATTIVA,58.01,3
StatoMacchina.MACCHINA_ATTIVA,54.24,3
StatoMacchina.MACCHINA_ATTIVA,53.59,3
StatoMacchina.MACCHINA_ATTIVA,54.83,3
StatoMacchina.MACCHINA_ATTIVA,56.74,3
StatoMacchina.MACCHINA_ATTIVA,54.05,3
StatoMacchina.MACCHINA_ATTIVA,53.7,3
StatoMacchina.MACCHINA_ATTIVA,56.86,3
StatoMacchina.MACCHINA_ATTIVA,60.68,3
StatoMacchina.MACCHINA_ATTIVA,56.37,3
StatoMacchina.MACCHINA_ATTIVA,58.88,3
StatoMacchina.MACCHINA_ATTIVA,62.56,3
StatoMacchina.MACCHINA_ATTIVA,61.94,3
StatoMacchina.MACCHINA_ATTIVA,60.32,3
StatoMacchina.MACCHINA_ATTIVA,58.52,3
StatoMacchina.MACCHINA_ATTIVA,58.65,3
StatoMacchina.MACCHINA_ATTIVA,54.09,3
StatoMacchina.MACCHINA_ATTIVA,56.51,3
StatoMacchina.MACCHINA_ATTIVA,55.86,3
StatoMacchina.MACCHINA_ATTIVA,57.81,3
StatoMacchina.MACCHINA_ATTIVA,62.11,3
StatoMacchina.MACCHINA_ATTIVA,62.76,3
StatoMacchina.MACCHINA_ATTIVA,66.44,3
StatoMacchina.MACCHINA_ATTIVA,68.04,3
StatoMacchina.ATTIVA_PROSSIMA_POMPA,71.06,3
StatoMacchina.MACCHINA_ATTIVA,69.52,4
StatoMacchina.MACCHINA_ATTIVA,72.31,4
StatoMacchina.MACCHINA_ATTIVA,72.83,4
StatoMacchina.MACCHINA_ATTIVA,68.6,4
StatoMacchina.MACCHINA_ATTIVA,71.06,4
StatoMacchina.MACCHINA_ATTIVA,75.54,4
StatoMacchina.MACCHINA_ATTIVA,78.61,4
StatoMacchina.ATTIVA_PROSSIMA_POMPA,80.23,4
StatoMacchina.MACCHINA_ATTIVA,82.27,5
StatoMacchina.MACCHINA_ATTIVA,77.67,5
StatoMacchina.MACCHINA_ATTIVA,81.67,5
StatoMacchina.MACCHINA_ATTIVA,85.24,5
StatoMacchina.ATTIVA_PROSSIMA_POMPA,90.08,5
StatoMacchina.MACCHINA_ATTIVA,88.63,6
StatoMacchina.MACCHINA_ATTIVA,86.96,6
StatoMacchina.MACCHINA_ATTIVA,83.34,6
StatoMacchina.MACCHINA_ATTIVA,85.03,6
StatoMacchina.MACCHINA_ATTIVA,89.55,6
StatoMacchina.MACCHINA_ATTIVA,87.26,6
StatoMacchina.MACCHINA_ATTIVA,87.02,6
StatoMacchina.MACCHINA_ATTIVA,83.73,6
StatoMacchina.MACCHINA_ATTIVA,84.55,6
StatoMacchina.MACCHINA_ATTIVA,88.44,6
StatoMacchina.MACCHINA_ATTIVA,85.89,6
StatoMacchina.MACCHINA_ATTIVA,83.24,6
StatoMacchina.DISATTIVA_ULTIMA_POMPA,82.78,6
StatoMacchina.MACCHINA_ATTIVA,79.76,5
StatoMacchina.MACCHINA_ATTIVA,81.55,5
StatoMacchina.MACCHINA_ATTIVA,82.18,5
StatoMacchina.MACCHINA_ATTIVA,86.33,5
StatoMacchina.MACCHINA_ATTIVA,83.88,5
StatoMacchina.MACCHINA_ATTIVA,80.82,5
StatoMacchina.MACCHINA_ATTIVA,83.42,5
StatoMacchina.MACCHINA_ATTIVA,85.98,5
StatoMacchina.MACCHINA_ATTIVA,84.94,5
StatoMacchina.MACCHINA_ATTIVA,86.14,5
StatoMacchina.MACCHINA_ATTIVA,85.91,5
StatoMacchina.MACCHINA_ATTIVA,88.86,5
StatoMacchina.MACCHINA_ATTIVA,89.9,5
StatoMacchina.MACCHINA_ATTIVA,87.4,5
StatoMacchina.MACCHINA_ATTIVA,86.63,5
StatoMacchina.MACCHINA_ATTIVA,84.01,5
StatoMacchina.MACCHINA_ATTIVA,84.09,5
StatoMacchina.MACCHINA_ATTIVA,85.87,5
StatoMacchina.MACCHINA_ATTIVA,85.97,5
StatoMacchina.MACCHINA_ATTIVA,86.72,5
StatoMacchina.MACCHINA_ATTIVA,86.17,5
StatoMacchina.MACCHINA_ATTIVA,83.15,5
StatoMacchina.MACCHINA_ATTIVA,80.82,5
StatoMacchina.MACCHINA_ATTIVA,84.04,5
StatoMacchina.MACCHINA_ATTIVA,79.45,5
StatoMacchina.MACCHINA_ATTIVA,79.01,5
StatoMacchina.MACCHINA_ATTIVA,80.72,5
StatoMacchina.MACCHINA_ATTIVA,80.96,5
StatoMacchina.MACCHINA_ATTIVA,79.49,5
StatoMacchina.MACCHINA_ATTIVA,83.22,5
StatoMacchina.MACCHINA_ATTIVA,82.67,5
StatoMacchina.MACCHINA_ATTIVA,85.85,5
StatoMacchina.MACCHINA_ATTIVA,82.08,5
StatoMacchina.MACCHINA_ATTIVA,80.13,5
StatoMacchina.MACCHINA_ATTIVA,77.44,5
StatoMacchina.MACCHINA_ATTIVA,75.69,5
StatoMacchina.MACCHINA_ATTIVA,78.45,5
StatoMacchina.MACCHINA_ATTIVA,81.25,5
StatoMacchina.MACCHINA_ATTIVA,80.06,5
StatoMacchina.MACCHINA_ATTIVA,84.52,5
StatoMacchina.MACCHINA_ATTIVA,81.27,5
StatoMacchina.MACCHINA_ATTIVA,80.66,5
StatoMacchina.MACCHINA_ATTIVA,75.7,5
StatoMacchina.MACCHINA_ATTIVA,73.08,5
StatoMacchina.MACCHINA_ATTIVA,74.08,5
StatoMacchina.DISATTIVA_ULTIMA_POMPA,70.19,5
StatoMacchina.MACCHINA_ATTIVA,72.3,4
StatoMacchina.MACCHINA_ATTIVA,68.01,4
StatoMacchina.MACCHINA_ATTIVA,66.87,4
StatoMacchina.MACCHINA_ATTIVA,66.39,4
StatoMacchina.MACCHINA_ATTIVA,64.5,4
