stato,livello_acqua,tot_pompe_attive
StatoMacchina.MACCHINA_ATTIVA,57.4,0
StatoMacchina.ATTIVA_PROSSIMA_POMPA,61.23,0
StatoMacchina.MACCHINA_ATTIVA,61.6,1
StatoMacchina.ATTIVA_PROSSIMA_POMPA,58.64,1
StatoMacchina.MACCHINA_ATTIVA,54.62,2
StatoMacchina.MACCHINA_ATTIVA,50.35,2
StatoMacchina.MACCHINA_ATTIVA,54.49,2
StatoMacchina.MACCHINA_ATTIVA,55.59,2
StatoMacchina.MACCHINA_ATTIVA,55.49,2
StatoMacchina.MACCHINA_ATTIVA,57.37,2
StatoMacchina.ATTIVA_PROSSIMA_POMPA,60.1,2
StatoMacchina.MACCHINA_ATTIVA,60.0,3
StatoMacchina.MACCHINA_ATTIVA,61.37,3
StatoMacchina.MACCHINA_ATTIVA,65.2,3
StatoMacchina.MACCHINA_ATTIVA,60.76,3
StatoMacchina.MACCHINA_ATTIVA,58.46,3
StatoMacchina.MACCHINA_ATTIVA,53.6,3
StatoMacchina.MACCHINA_ATTIVA,53.04,3
StatoMacchina.MACCHINA_ATTIVA,55.03,3
StatoMacchina.MACCHINA_ATTIVA,58.97,3
StatoMacchina.MACCHINA_ATTIVA,57.53,3
StatoMacchina.MACCHINA_ATTIVA,53.98,3
StatoMacchina.MACCHINA_ATTIVA,51.44,3
StatoMacchina.MACCHINA_ATTIVA,49.59,3
StatoMacchina.MACCHINA_ATTIVA,45.37,3
StatoMacchina.MACCHINA_ATTIVA,49.42,3
StatoMacchina.MACCHINA_ATTIVA,45.62,3
StatoMacchina.MACCHINA_ATTIVA,45.37,3
StatoMacchina.MACCHINA_ATTIVA,49.7,3
StatoMacchina.MACCHINA_ATTIVA,53.45,3
StatoMacchina.MACCHINA_ATTIVA,50.42,3
StatoMacchina.MACCHINA_ATTIVA,47.01,3
StatoMacchina.MACCHINA_ATTIVA,50.73,3
StatoMacchina.MACCHINA_ATTIVA,51.17,3
StatoMacchina.MACCHINA_ATTIVA,48.58,3
StatoMacchina.MACCHINA_ATTIVA,48.58,3
StatoMacchina.MACCHINA_ATTIVA,43.94,3
StatoMacchina.MACCHINA_ATTIVA,44.74,3
StatoMacchina.MACCHINA_ATTIVA,45.93,3
StatoMacchina.MACCHINA_ATTIVA,47.17,3
StatoMacchina.MACCHINA_ATTIVA,44.25,3
StatoMacchina.MACCHINA_ATTIVA,43.03,3
